"Headline.pfx" "NewsDesk.nb" "Popular.fctr" ".n"
"myEducation::" "Metro" "N" 1
"myFood::" "OpEd" "N" 1
"myEducation::" "Science" "N" 1
"myTech::" "Science" "N" 1
"The Daily Gift::" "The Daily Gift::" "N" 1
"myEducation::" "TStyle" "N" 1
"myPolitics::" "TStyle" "N" 1
"myPolitics::" "Foreign" "Y" 1
"Readers Respond::" "Metro" "Y" 1
"myFood::" "Metro" "Y" 1
"myMultimedia::" "Metro" "Y" 1
"Quiz(.*)([?=|]|[?=:]::" "myEducation" "Y" 1
"myFood::" "OpEd" "Y" 1
"myMultimedia::" "OpEd" "Y" 1
"myPolitics::" "Styles" "Y" 1
"myMisc::" "Travel" "Y" 1
"myEducation::" "TStyle" "Y" 1
"myTech::" "TStyle" "Y" 1
"myMultimedia::" "Business" NA 1
"myPolitics::" "Business" NA 1
"myPolitics::" "Culture" NA 1
"myPolitics::" "Foreign" NA 1
"myMultimedia::" "Metro" NA 1
"myMultimedia::" "myEducation" NA 1
"myTech::" "myEducation" NA 1
"myMultimedia::" "myMultimedia" NA 1
"myEducation::" "OpEd" NA 1
"myTech::" "OpEd" NA 1
"myFood::" "Styles" NA 1
"myMultimedia::" "Styles" NA 1
"myTech::" "Styles" NA 1
"myFood::" "Travel" NA 1
"myFood::" "TStyle" NA 1
