"NewsDesk.nb" "NewsDesk" "SectionName.nb" "SectionName" "SubsectionName.nb" "SubsectionName" "Headline.pfx" "Popular.fctr" ".n"
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myTech::" "N" 64
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myTech::" "Y" 18
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myTech::" NA 18
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" ".*Fashion Week::" NA 1
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myFood::" "N" 1
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" "N" 622
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" "Y" 50
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" NA 160
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myTech::" "N" 2
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myTech::" NA 2
"Culture" "Culture" "Culture" "" "Culture::Culture" "" "myMisc::" "N" 1
"Culture" "Culture" "Culture" "" "Culture::Culture" "" "myMisc::" NA 70
"Daily Clip Report::" "" "Daily Clip Report::" "" "Daily Clip Report::Daily Clip Report::" "" "Daily Clip Report::" "N" 62
"Daily Clip Report::" "" "Daily Clip Report::" "" "Daily Clip Report::Daily Clip Report::" "" "Daily Clip Report::" NA 22
"First Draft::" "" "First Draft::" "" "First Draft::First Draft::" "" "First Draft::" "N" 58
"First Draft::" "" "First Draft::" "" "First Draft::First Draft::" "" "First Draft::" NA 14
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "19[0-9][0-9]::" "N" 141
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "19[0-9][0-9]::" NA 39
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "myMisc::" "N" 22
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "myMisc::" NA 7
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" "N" 200
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" "Y" 3
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" NA 55
"Foreign" "Foreign" "World" "World" "Foreign::World" "" "myMisc::" "N" 9
"Foreign" "Foreign" "World" "World" "Foreign::World" "" "myMisc::" NA 1
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "myMisc::" "N" 31
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "myMisc::" NA 3
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" ".*Fashion Week::" "N" 1
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myFood::" "N" 2
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" "N" 119
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" "Y" 14
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" NA 43
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" "N" 59
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" "Y" 3
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" NA 20
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "Pictures of the (Day|Year|.)::" NA 1
"myFood::" "" "myFood::" "" "myFood::myFood::" "" "myFood::" "N" 2
"myFood::" "" "U.S." "U.S." "Education" "Education" "myFood::" "N" 3
"myMisc::" "" "Arts" "Arts" "myMisc::Arts" "" "myMisc::" NA 11
"myMisc::" "" "Multimedia" "Multimedia" "myMisc::Multimedia" "" "myMisc::" "N" 86
"myMisc::" "" "Multimedia" "Multimedia" "myMisc::Multimedia" "" "myMisc::" "Y" 2
"myMisc::" "" "Multimedia" "Multimedia" "myMisc::Multimedia" "" "myMisc::" NA 30
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" "N" 914
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" "Y" 115
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" NA 256
"myMisc::" "" "N.Y. / Region" "N.Y. / Region" "myMisc::N.Y. / Region" "" "myMisc::" NA 2
"myMisc::" "" "Open" "Open" "myMisc::Open" "" "myMisc::" "N" 4
"myMisc::" "" "Open" "Open" "myMisc::Open" "" "myMisc::" NA 1
"myMisc::" "" "Travel" "Travel" "myMisc::Travel" "" "myMisc::" "N" 1
"myMisc::" "" "Travel" "Travel" "myMisc::Travel" "" "myMisc::" NA 4
"myMisc::" "" "U.S." "U.S." "Education" "Education" "myMisc::" "N" 136
"myMisc::" "" "U.S." "U.S." "Education" "Education" "myMisc::" NA 39
"myMisc::" "" "U.S." "U.S." "myMisc::U.S." "" "myMisc::" "N" 1
"myMisc::" "" "U.S." "U.S." "myMisc::U.S." "" "myMisc::" NA 1
"myMisc::" "" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" NA 1
"myTech::" "" "myTech::" "" "myTech::myTech::" "" "myTech::" "N" 4
"myTech::" "" "U.S." "U.S." "Education" "Education" "myTech::" "N" 3
"myTech::" "" "U.S." "U.S." "Education" "Education" "myTech::" NA 1
"National" "National" "National" "" "National::National" "" "myMisc::" "N" 2
"National" "National" "U.S." "U.S." "Politics" "Politics" "myMisc::" "N" 2
"New York Today::" "" "N.Y. / Region" "N.Y. / Region" "New York Today::N.Y. / Region" "" "New York Today::" NA 1
"OpEd" "" "Opinion" "" "OpEd::Opinion" "" "What We're::" "N" 41
"OpEd" "" "Opinion" "" "OpEd::Opinion" "" "What We're::" NA 11
"OpEd" "" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "N" 4
"OpEd" "" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "Y" 1
"OpEd" "" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" NA 5
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" "N" 59
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" "Y" 1
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" NA 20
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myTech::" "N" 2
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" "N" 4
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" "Y" 16
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" NA 10
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myMisc::" "Y" 1
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myMisc::" NA 17
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myTech::" NA 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myFood::" "N" 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myFood::" "Y" 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "N" 107
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "Y" 404
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" NA 140
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myTech::" "N" 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myTech::" "Y" 2
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "What We're::" "N" 4
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "What We're::" NA 1
"Pictures of the (Day|Year|.)::" "" "Multimedia" "Multimedia" "Pictures of the (Day|Year|.)::Multimedia" "" "Pictures of the (Day|Year|.)::" "N" 53
"Pictures of the (Day|Year|.)::" "" "Multimedia" "Multimedia" "Pictures of the (Day|Year|.)::Multimedia" "" "Pictures of the (Day|Year|.)::" NA 22
"Science" "" "Health" "Health" "Science::Health" "" "myMisc::" "Y" 1
"Science" "Science" "Health" "" "Science::Health" "" "myMisc::" "Y" 2
"Science" "Science" "Health" "" "Science::Health" "" "myMisc::" NA 2
"Science" "Science" "Health" "Health" "Science::Health" "" "Ask Well::" "N" 6
"Science" "Science" "Health" "Health" "Science::Health" "" "Ask Well::" "Y" 9
"Science" "Science" "Health" "Health" "Science::Health" "" "Ask Well::" NA 3
"Science" "Science" "Health" "Health" "Science::Health" "" "myFood::" "N" 15
"Science" "Science" "Health" "Health" "Science::Health" "" "myFood::" "Y" 1
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" "N" 51
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" "Y" 109
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" NA 52
"Science" "Science" "Health" "Health" "Science::Health" "" "myTech::" "N" 1
"Science" "Styles" "Health" "Health" "Science::Health" "" "myMisc::" "N" 1
"Sports" "Sports" "Sports" "" "Sports::Sports" "" "myMisc::" "N" 1
"Sports" "Sports" "Sports" "Sports" "Sports::Sports" "" "myMisc::" "N" 1
"Styles" "" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" NA 1
"Styles" "Styles" "Styles" "" "Fashion & Style" "" ".*Fashion Week::" "N" 46
"Styles" "Styles" "Styles" "" "Fashion & Style" "" ".*Fashion Week::" NA 1
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myMisc::" "N" 68
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myMisc::" "Y" 1
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myMisc::" NA 13
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myTech::" "N" 2
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myTech::" NA 1
"Styles" "Styles" "Styles" "Style" "Fashion & Style" "Fashion & Style" "myMisc::" "N" 2
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myFood::" "N" 3
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myFood::" "Y" 2
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMisc::" "N" 65
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMisc::" "Y" 94
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMisc::" NA 59
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" "N" 9
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" "Y" 4
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" NA 2
"Test Yourself::" "" "U.S." "U.S." "Education" "Education" "Test Yourself::" "N" 61
"Test Yourself::" "" "U.S." "U.S." "Education" "Education" "Test Yourself::" NA 17
"The Daily Gift::" "" "The Daily Gift::" "" "The Daily Gift::The Daily Gift::" "" "The Daily Gift::" "N" 1
"The Daily Gift::" "" "The Daily Gift::" "" "The Daily Gift::The Daily Gift::" "" "The Daily Gift::" NA 2
"Today in Politics::" "" "Today in Politics::" "" "Today in Politics::Today in Politics::" "" "Today in Politics::" "N" 44
"Today in Politics::" "" "Today in Politics::" "" "Today in Politics::Today in Politics::" "" "Today in Politics::" NA 21
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myFood::" "N" 1
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" "N" 114
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" "Y" 1
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" NA 31
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" ".*Fashion Week::" "N" 136
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myFood::" "N" 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" "N" 552
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" "Y" 8
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" NA 83
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myTech::" "N" 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myTech::" "Y" 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "The Daily Gift::" "N" 25
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "The Daily Gift::" NA 22
"Verbatim::" "" "Verbatim::" "" "Verbatim::Verbatim::" "" "Verbatim::" "N" 33
"Verbatim::" "" "Verbatim::" "" "Verbatim::Verbatim::" "" "Verbatim::" NA 12
"Word of the Day::" "" "U.S." "U.S." "Education" "Education" "Word of the Day::" "N" 61
"Word of the Day::" "" "U.S." "U.S." "Education" "Education" "Word of the Day::" NA 17
