"UniqueID","Popular.fctr","Popular.fctr.predict.Conditional.X.no.rnorm.rf.prob","Popular.fctr.predict.Conditional.X.no.rnorm.rf","Popular.fctr.predict.Conditional.X.no.rnorm.rf.accurate"
420,"Y",0.496,"Y",TRUE
419,"N",0.59,"Y",FALSE
418,"Y",0.294,"N",FALSE
558,"N",0.004,"N",TRUE
555,"N",0.026,"N",TRUE
554,"Y",0.318,"N",FALSE
552,"N",0.014,"N",TRUE
551,"N",0.008,"N",TRUE
549,"N",0.558,"Y",FALSE
548,"N",0.286,"N",TRUE
547,"N",0.184,"N",TRUE
544,"N",0.06,"N",TRUE
543,"N",0.05,"N",TRUE
539,"N",0.172,"N",TRUE
537,"N",0.05,"N",TRUE
534,"N",0.212,"N",TRUE
532,"N",0.03,"N",TRUE
531,"N",0.002,"N",TRUE
530,"N",0,"N",TRUE
529,"N",0.016,"N",TRUE
526,"N",0.008,"N",TRUE
525,"N",0.006,"N",TRUE
524,"N",0,"N",TRUE
521,"N",0.024,"N",TRUE
517,"N",0.002,"N",TRUE
513,"N",0,"N",TRUE
510,"N",0.012,"N",TRUE
508,"N",0.334,"N",TRUE
507,"N",0.02,"N",TRUE
502,"N",0.024,"N",TRUE
501,"N",0.018,"N",TRUE
499,"Y",0.78,"Y",TRUE
497,"N",0.002,"N",TRUE
487,"N",0.02,"N",TRUE
486,"N",0.026,"N",TRUE
478,"N",0.042,"N",TRUE
476,"N",0.02,"N",TRUE
474,"N",0.066,"N",TRUE
467,"N",0.016,"N",TRUE
466,"N",0.228,"N",TRUE
464,"N",0.006,"N",TRUE
457,"N",0.5,"Y",FALSE
454,"N",0.002,"N",TRUE
452,"Y",0.996,"Y",TRUE
450,"Y",0.014,"N",FALSE
641,"Y",0.38,"N",FALSE
640,"N",0.356,"N",TRUE
639,"N",0.142,"N",TRUE
633,"N",0,"N",TRUE
630,"N",0.1,"N",TRUE
627,"N",0.018,"N",TRUE
625,"N",0.022,"N",TRUE
619,"N",0,"N",TRUE
617,"N",0.002,"N",TRUE
616,"Y",0.848,"Y",TRUE
611,"N",0.012,"N",TRUE
608,"N",0,"N",TRUE
601,"Y",0.066,"N",FALSE
598,"Y",0.26,"N",FALSE
597,"N",0.236,"N",TRUE
590,"N",0.004,"N",TRUE
589,"N",0,"N",TRUE
581,"N",0.008,"N",TRUE
578,"Y",0.328,"N",FALSE
575,"N",0.182,"N",TRUE
574,"N",0.164,"N",TRUE
572,"N",0.004,"N",TRUE
567,"N",0.136,"N",TRUE
565,"N",0.018,"N",TRUE
564,"N",0.006,"N",TRUE
746,"N",0.094,"N",TRUE
744,"N",0.078,"N",TRUE
739,"N",0.036,"N",TRUE
738,"N",0.04,"N",TRUE
734,"N",0,"N",TRUE
733,"N",0.016,"N",TRUE
729,"N",0.012,"N",TRUE
727,"N",0.016,"N",TRUE
726,"N",0.008,"N",TRUE
725,"N",0.706,"Y",FALSE
722,"N",0.06,"N",TRUE
721,"N",0,"N",TRUE
720,"N",0.036,"N",TRUE
715,"Y",0.378,"N",FALSE
712,"N",0.168,"N",TRUE
707,"Y",0.782,"Y",TRUE
704,"N",0.006,"N",TRUE
702,"N",0.022,"N",TRUE
701,"N",0.006,"N",TRUE
697,"N",0.134,"N",TRUE
695,"N",0,"N",TRUE
687,"N",0.072,"N",TRUE
685,"Y",0.43,"Y",TRUE
677,"N",0.106,"N",TRUE
671,"N",0.098,"N",TRUE
670,"N",0.046,"N",TRUE
666,"N",0,"N",TRUE
665,"N",0.006,"N",TRUE
664,"N",0.756,"Y",FALSE
663,"N",0.072,"N",TRUE
659,"N",0.01,"N",TRUE
655,"N",0.008,"N",TRUE
654,"Y",0.272,"N",FALSE
653,"N",0.042,"N",TRUE
652,"N",0.304,"N",TRUE
649,"N",0.258,"N",TRUE
835,"N",0.002,"N",TRUE
833,"N",0.082,"N",TRUE
830,"N",0.404,"Y",FALSE
827,"N",0.01,"N",TRUE
825,"Y",0.372,"N",FALSE
821,"N",0.052,"N",TRUE
816,"N",0.026,"N",TRUE
815,"Y",0.842,"Y",TRUE
814,"Y",0.01,"N",FALSE
811,"N",0.448,"Y",FALSE
810,"N",0,"N",TRUE
806,"N",0.15,"N",TRUE
805,"N",0.03,"N",TRUE
804,"N",0,"N",TRUE
800,"N",0.006,"N",TRUE
795,"N",0,"N",TRUE
794,"N",0.01,"N",TRUE
793,"N",0.004,"N",TRUE
790,"N",0.008,"N",TRUE
789,"N",0.106,"N",TRUE
788,"N",0.002,"N",TRUE
785,"N",0.886,"Y",FALSE
783,"N",0.012,"N",TRUE
780,"N",0.01,"N",TRUE
779,"Y",0.694,"Y",TRUE
778,"N",0.014,"N",TRUE
771,"N",0.004,"N",TRUE
770,"N",0.68,"Y",FALSE
768,"N",0.002,"N",TRUE
767,"N",0.198,"N",TRUE
756,"Y",0.502,"Y",TRUE
755,"Y",0.996,"Y",TRUE
917,"N",0.384,"N",TRUE
913,"N",0.006,"N",TRUE
911,"N",0.076,"N",TRUE
906,"N",0.11,"N",TRUE
902,"N",0.094,"N",TRUE
898,"N",0.044,"N",TRUE
892,"N",0.038,"N",TRUE
890,"N",0.014,"N",TRUE
883,"N",0.032,"N",TRUE
880,"N",0.028,"N",TRUE
871,"N",0.1,"N",TRUE
867,"N",0.024,"N",TRUE
865,"N",0,"N",TRUE
862,"N",0,"N",TRUE
861,"N",0.046,"N",TRUE
860,"N",0.026,"N",TRUE
859,"N",0.036,"N",TRUE
856,"N",0.042,"N",TRUE
850,"N",0.002,"N",TRUE
849,"N",0.008,"N",TRUE
845,"N",0.062,"N",TRUE
838,"N",0.148,"N",TRUE
938,"N",0.292,"N",TRUE
937,"N",0.098,"N",TRUE
932,"N",0.36,"N",TRUE
928,"N",0.01,"N",TRUE
925,"N",0.016,"N",TRUE
924,"Y",0.976,"Y",TRUE
922,"N",0.01,"N",TRUE
962,"N",0.23,"N",TRUE
957,"N",0.002,"N",TRUE
953,"N",0.194,"N",TRUE
949,"N",0,"N",TRUE
946,"N",0.342,"N",TRUE
941,"N",0.536,"Y",FALSE
1060,"N",0.172,"N",TRUE
1058,"N",0.01,"N",TRUE
1057,"N",0.006,"N",TRUE
1054,"N",0.144,"N",TRUE
1053,"Y",0.514,"Y",TRUE
1047,"N",0.14,"N",TRUE
1043,"N",0.002,"N",TRUE
1035,"Y",0.758,"Y",TRUE
1032,"N",0.006,"N",TRUE
1031,"N",0.062,"N",TRUE
1027,"N",0,"N",TRUE
1025,"N",0.028,"N",TRUE
1019,"Y",0.57,"Y",TRUE
1014,"N",0.004,"N",TRUE
1006,"Y",0.856,"Y",TRUE
1005,"N",0.004,"N",TRUE
1003,"N",0.126,"N",TRUE
997,"N",0.036,"N",TRUE
994,"N",0.036,"N",TRUE
991,"N",0,"N",TRUE
986,"Y",0.88,"Y",TRUE
982,"N",0.02,"N",TRUE
978,"N",0.024,"N",TRUE
967,"N",0.324,"N",TRUE
966,"Y",0.996,"Y",TRUE
1145,"N",0.014,"N",TRUE
1142,"N",0.086,"N",TRUE
1138,"N",0,"N",TRUE
1136,"N",0.002,"N",TRUE
1132,"Y",0.626,"Y",TRUE
1123,"N",0.034,"N",TRUE
1120,"N",0.016,"N",TRUE
1117,"N",0.374,"N",TRUE
1103,"N",0.05,"N",TRUE
1099,"N",0.004,"N",TRUE
1097,"N",0,"N",TRUE
1096,"Y",0.346,"N",FALSE
1092,"Y",0.072,"N",FALSE
1089,"N",0.09,"N",TRUE
1087,"N",0,"N",TRUE
1080,"N",0.002,"N",TRUE
1074,"N",0,"N",TRUE
1072,"N",0.074,"N",TRUE
1071,"N",0.004,"N",TRUE
1070,"N",0.296,"N",TRUE
1228,"N",0.056,"N",TRUE
1227,"N",0.022,"N",TRUE
1226,"N",0.016,"N",TRUE
1225,"N",0.168,"N",TRUE
1219,"N",0.068,"N",TRUE
1217,"N",0.076,"N",TRUE
1214,"N",0.012,"N",TRUE
1213,"N",0.008,"N",TRUE
1210,"N",0.034,"N",TRUE
1208,"N",0.018,"N",TRUE
1202,"N",0.006,"N",TRUE
1201,"N",0.002,"N",TRUE
1198,"N",0.032,"N",TRUE
1195,"Y",0.1,"N",FALSE
1192,"N",0.006,"N",TRUE
1189,"N",0,"N",TRUE
1185,"N",0.002,"N",TRUE
1184,"N",0.004,"N",TRUE
1179,"N",0.74,"Y",FALSE
1170,"N",0,"N",TRUE
1169,"N",0,"N",TRUE
1167,"Y",0.266,"N",FALSE
1161,"N",0.014,"N",TRUE
1159,"N",0.036,"N",TRUE
1153,"N",0.344,"N",TRUE
1152,"N",0.374,"N",TRUE
1151,"N",0.53,"Y",FALSE
1322,"N",0.182,"N",TRUE
1320,"N",0.004,"N",TRUE
1319,"N",0.006,"N",TRUE
1318,"N",0,"N",TRUE
1313,"N",0,"N",TRUE
1310,"N",0.102,"N",TRUE
1307,"N",0.052,"N",TRUE
1306,"Y",0.852,"Y",TRUE
1298,"Y",0.894,"Y",TRUE
1296,"N",0.012,"N",TRUE
1295,"N",0.066,"N",TRUE
1293,"N",0.03,"N",TRUE
1282,"N",0.006,"N",TRUE
1280,"N",0,"N",TRUE
1279,"N",0.002,"N",TRUE
1274,"N",0.02,"N",TRUE
1273,"Y",0.208,"N",FALSE
1270,"Y",0.756,"Y",TRUE
1268,"N",0.002,"N",TRUE
1265,"N",0.004,"N",TRUE
1263,"Y",0.408,"Y",TRUE
1262,"N",0.004,"N",TRUE
1260,"N",0.198,"N",TRUE
1259,"N",0.006,"N",TRUE
1255,"Y",0.158,"N",FALSE
1252,"N",0.008,"N",TRUE
1249,"N",0.012,"N",TRUE
1247,"N",0,"N",TRUE
1246,"Y",0.028,"N",FALSE
1245,"N",0.022,"N",TRUE
1241,"N",0.724,"Y",FALSE
1237,"N",0.522,"Y",FALSE
1236,"N",0.052,"N",TRUE
1234,"N",0.4,"Y",FALSE
1411,"N",0.008,"N",TRUE
1410,"N",0.022,"N",TRUE
1409,"N",0.008,"N",TRUE
1408,"N",0.034,"N",TRUE
1404,"Y",0.406,"Y",TRUE
1403,"Y",0.312,"N",FALSE
1402,"N",0.002,"N",TRUE
1401,"N",0.002,"N",TRUE
1400,"N",0.124,"N",TRUE
1395,"N",0.054,"N",TRUE
1379,"N",0.044,"N",TRUE
1377,"N",0,"N",TRUE
1373,"N",0.134,"N",TRUE
1370,"N",0,"N",TRUE
1369,"N",0.518,"Y",FALSE
1363,"N",0,"N",TRUE
1359,"N",0.004,"N",TRUE
1355,"N",0.61,"Y",FALSE
1354,"N",0.028,"N",TRUE
1353,"N",0.004,"N",TRUE
1351,"N",0,"N",TRUE
1346,"N",0.028,"N",TRUE
1345,"N",0,"N",TRUE
1343,"N",0.004,"N",TRUE
1337,"N",0.002,"N",TRUE
1336,"N",0,"N",TRUE
1335,"N",0.016,"N",TRUE
1329,"N",0.01,"N",TRUE
1434,"N",0.014,"N",TRUE
1433,"Y",0.738,"Y",TRUE
1432,"N",0,"N",TRUE
1431,"N",0,"N",TRUE
1426,"N",0,"N",TRUE
1419,"Y",0.898,"Y",TRUE
1479,"N",0.014,"N",TRUE
1476,"N",0.026,"N",TRUE
1472,"N",0,"N",TRUE
1470,"N",0.054,"N",TRUE
1468,"N",0.176,"N",TRUE
1465,"N",0.002,"N",TRUE
1461,"N",0.02,"N",TRUE
1454,"N",0.222,"N",TRUE
1449,"Y",0.95,"Y",TRUE
1446,"N",0.012,"N",TRUE
1443,"N",0.012,"N",TRUE
1440,"Y",0.35,"N",FALSE
1599,"N",0,"N",TRUE
1598,"N",0.034,"N",TRUE
1596,"Y",0.534,"Y",TRUE
1594,"N",0.004,"N",TRUE
1593,"N",0.138,"N",TRUE
1592,"N",0.006,"N",TRUE
1589,"N",0.034,"N",TRUE
1588,"Y",0.218,"N",FALSE
1587,"N",0.448,"Y",FALSE
1580,"N",0,"N",TRUE
1579,"N",0.016,"N",TRUE
1576,"N",0.014,"N",TRUE
1566,"N",0.004,"N",TRUE
1563,"N",0.008,"N",TRUE
1558,"Y",0.804,"Y",TRUE
1556,"N",0.016,"N",TRUE
1554,"N",0.312,"N",TRUE
1547,"N",0.042,"N",TRUE
1544,"N",0.002,"N",TRUE
1540,"N",0.008,"N",TRUE
1538,"N",0.002,"N",TRUE
1534,"N",0.012,"N",TRUE
1532,"N",0.296,"N",TRUE
1529,"Y",0.496,"Y",TRUE
1526,"Y",0.538,"Y",TRUE
1525,"N",0.124,"N",TRUE
1524,"N",0.006,"N",TRUE
1520,"N",0.008,"N",TRUE
1519,"N",0.02,"N",TRUE
1516,"N",0.002,"N",TRUE
1515,"N",0.28,"N",TRUE
1511,"N",0.004,"N",TRUE
1509,"N",0,"N",TRUE
1505,"N",0.148,"N",TRUE
1498,"N",0.01,"N",TRUE
1492,"N",0.008,"N",TRUE
1490,"N",0,"N",TRUE
1489,"Y",0.084,"N",FALSE
1488,"N",0.454,"Y",FALSE
1486,"Y",0.474,"Y",TRUE
1481,"N",0.002,"N",TRUE
1725,"N",0.002,"N",TRUE
1719,"N",0.048,"N",TRUE
1714,"N",0.4,"Y",FALSE
1711,"N",0.018,"N",TRUE
1710,"N",0.006,"N",TRUE
1709,"N",0.054,"N",TRUE
1700,"N",0.01,"N",TRUE
1685,"N",0.442,"Y",FALSE
1683,"N",0.002,"N",TRUE
1679,"N",0.002,"N",TRUE
1677,"N",0.63,"Y",FALSE
1672,"N",0.022,"N",TRUE
1671,"N",0.002,"N",TRUE
1667,"N",0.886,"Y",FALSE
1666,"N",0.024,"N",TRUE
1665,"N",0.008,"N",TRUE
1664,"N",0.27,"N",TRUE
1660,"N",0.06,"N",TRUE
1658,"N",0.07,"N",TRUE
1655,"Y",0.822,"Y",TRUE
1652,"N",0,"N",TRUE
1651,"N",0.002,"N",TRUE
1645,"N",0.034,"N",TRUE
1639,"N",0.84,"Y",FALSE
1637,"N",0.008,"N",TRUE
1634,"N",0.036,"N",TRUE
1630,"N",0,"N",TRUE
1629,"N",0,"N",TRUE
1625,"N",0,"N",TRUE
1622,"N",0.008,"N",TRUE
1621,"N",0.298,"N",TRUE
1620,"N",0.002,"N",TRUE
1619,"N",0.246,"N",TRUE
1617,"N",0.036,"N",TRUE
1616,"N",0.036,"N",TRUE
1613,"N",0.04,"N",TRUE
1611,"N",0.48,"Y",FALSE
1608,"Y",0.222,"N",FALSE
1851,"Y",0.606,"Y",TRUE
1844,"N",0.114,"N",TRUE
1843,"Y",0.274,"N",FALSE
1836,"N",0.002,"N",TRUE
1830,"N",0.186,"N",TRUE
1826,"N",0.006,"N",TRUE
1815,"Y",0.854,"Y",TRUE
1813,"N",0,"N",TRUE
1812,"N",0.048,"N",TRUE
1810,"N",0.008,"N",TRUE
1805,"N",0.05,"N",TRUE
1804,"N",0.016,"N",TRUE
1800,"N",0.008,"N",TRUE
1796,"N",0.002,"N",TRUE
1794,"N",0.002,"N",TRUE
1793,"N",0.012,"N",TRUE
1788,"N",0.002,"N",TRUE
1779,"N",0.022,"N",TRUE
1772,"N",0.024,"N",TRUE
1768,"N",0.13,"N",TRUE
1766,"N",0,"N",TRUE
1763,"N",0.094,"N",TRUE
1761,"N",0.006,"N",TRUE
1754,"N",0.032,"N",TRUE
1749,"N",0.016,"N",TRUE
1744,"N",0.034,"N",TRUE
1741,"N",0.236,"N",TRUE
1740,"N",0.772,"Y",FALSE
1739,"N",0.002,"N",TRUE
1735,"N",0.048,"N",TRUE
1734,"N",0.104,"N",TRUE
1732,"N",0.016,"N",TRUE
1961,"N",0,"N",TRUE
1956,"N",0.098,"N",TRUE
1953,"N",0.104,"N",TRUE
1946,"N",0.136,"N",TRUE
1941,"N",0.014,"N",TRUE
1936,"N",0.04,"N",TRUE
1935,"N",0.056,"N",TRUE
1933,"N",0.17,"N",TRUE
1931,"Y",0.944,"Y",TRUE
1930,"Y",0.868,"Y",TRUE
1928,"Y",0.19,"N",FALSE
1927,"Y",0.478,"Y",TRUE
1926,"N",0.002,"N",TRUE
1924,"N",0.01,"N",TRUE
1916,"N",0,"N",TRUE
1915,"Y",0.474,"Y",TRUE
1913,"N",0.002,"N",TRUE
1911,"N",0.004,"N",TRUE
1909,"N",0,"N",TRUE
1905,"N",0.394,"N",TRUE
1904,"N",0,"N",TRUE
1903,"Y",0.398,"N",FALSE
1902,"N",0.002,"N",TRUE
1901,"N",0.01,"N",TRUE
1899,"N",0.004,"N",TRUE
1893,"N",0.002,"N",TRUE
1891,"Y",0.78,"Y",TRUE
1890,"Y",0.724,"Y",TRUE
1884,"N",0.034,"N",TRUE
1881,"N",0,"N",TRUE
1879,"N",0.006,"N",TRUE
1878,"N",0.138,"N",TRUE
1877,"N",0.068,"N",TRUE
1872,"N",0.01,"N",TRUE
1870,"N",0.786,"Y",FALSE
1868,"N",0.004,"N",TRUE
1865,"N",0.014,"N",TRUE
1863,"N",0.072,"N",TRUE
1862,"N",0.008,"N",TRUE
1855,"N",0.446,"Y",FALSE
1853,"Y",0.998,"Y",TRUE
1852,"N",0.168,"N",TRUE
2076,"N",0.016,"N",TRUE
2069,"N",0.03,"N",TRUE
2068,"N",0.004,"N",TRUE
2060,"Y",0.114,"N",FALSE
2058,"N",0.01,"N",TRUE
2056,"N",0.172,"N",TRUE
2052,"Y",0.192,"N",FALSE
2048,"N",0.06,"N",TRUE
2047,"N",0,"N",TRUE
2041,"N",0.186,"N",TRUE
2039,"N",0.068,"N",TRUE
2038,"N",0.296,"N",TRUE
2036,"N",0.014,"N",TRUE
2034,"N",0.024,"N",TRUE
2033,"N",0.008,"N",TRUE
2028,"N",0.22,"N",TRUE
2026,"Y",0.186,"N",FALSE
2021,"N",0.018,"N",TRUE
2016,"N",0.014,"N",TRUE
2013,"N",0.17,"N",TRUE
2011,"N",0.006,"N",TRUE
2010,"N",0.144,"N",TRUE
2008,"N",0.004,"N",TRUE
2007,"Y",0.396,"N",FALSE
2006,"N",0.048,"N",TRUE
2005,"N",0.06,"N",TRUE
2001,"N",0.016,"N",TRUE
1999,"N",0.084,"N",TRUE
1996,"Y",0.59,"Y",TRUE
1994,"N",0.018,"N",TRUE
1993,"N",0.014,"N",TRUE
1990,"N",0.002,"N",TRUE
1984,"N",0.072,"N",TRUE
1983,"N",0.014,"N",TRUE
1980,"N",0.006,"N",TRUE
1978,"N",0.144,"N",TRUE
1977,"N",0.01,"N",TRUE
1973,"N",0.238,"N",TRUE
1972,"N",0.064,"N",TRUE
1970,"N",0.05,"N",TRUE
1968,"N",0.022,"N",TRUE
2104,"N",0.032,"N",TRUE
2103,"Y",0.94,"Y",TRUE
2098,"N",0.02,"N",TRUE
2095,"N",0,"N",TRUE
2092,"N",0,"N",TRUE
2091,"N",0,"N",TRUE
2088,"Y",0.296,"N",FALSE
2086,"N",0.098,"N",TRUE
2085,"N",0.028,"N",TRUE
2082,"N",0.006,"N",TRUE
2124,"N",0,"N",TRUE
2123,"Y",0.444,"Y",TRUE
2122,"N",0.66,"Y",FALSE
2118,"N",0.002,"N",TRUE
2116,"N",0.002,"N",TRUE
2115,"Y",1,"Y",TRUE
2114,"N",0.138,"N",TRUE
2109,"Y",0.626,"Y",TRUE
2108,"N",0.034,"N",TRUE
2107,"N",0.006,"N",TRUE
2242,"N",0.004,"N",TRUE
2240,"N",0.1,"N",TRUE
2235,"N",0.024,"N",TRUE
2231,"N",0.008,"N",TRUE
2229,"N",0.004,"N",TRUE
2226,"N",0.366,"N",TRUE
2224,"N",0.032,"N",TRUE
2221,"N",0.012,"N",TRUE
2220,"N",0.144,"N",TRUE
2218,"N",0.014,"N",TRUE
2216,"N",0.01,"N",TRUE
2214,"N",0.006,"N",TRUE
2213,"N",0.042,"N",TRUE
2211,"N",0.072,"N",TRUE
2208,"N",0.146,"N",TRUE
2206,"N",0.014,"N",TRUE
2203,"Y",0.208,"N",FALSE
2201,"N",0.002,"N",TRUE
2200,"N",0.012,"N",TRUE
2190,"N",0.004,"N",TRUE
2183,"N",0.08,"N",TRUE
2177,"N",0.002,"N",TRUE
2171,"Y",0.642,"Y",TRUE
2169,"N",0.058,"N",TRUE
2163,"N",0.062,"N",TRUE
2160,"N",0.044,"N",TRUE
2157,"N",0.02,"N",TRUE
2155,"N",0.006,"N",TRUE
2151,"N",0.014,"N",TRUE
2147,"Y",0.34,"N",FALSE
2146,"N",0.328,"N",TRUE
2138,"N",0,"N",TRUE
2136,"N",0.414,"Y",FALSE
2134,"N",0.544,"Y",FALSE
2338,"N",0,"N",TRUE
2337,"N",0.028,"N",TRUE
2331,"N",0.038,"N",TRUE
2330,"Y",0.212,"N",FALSE
2328,"N",0.16,"N",TRUE
2325,"N",0.018,"N",TRUE
2320,"N",0.172,"N",TRUE
2313,"N",0.002,"N",TRUE
2311,"N",0.016,"N",TRUE
2310,"N",0.14,"N",TRUE
2309,"N",0.054,"N",TRUE
2306,"Y",0.866,"Y",TRUE
2302,"N",0.006,"N",TRUE
2299,"N",0.102,"N",TRUE
2295,"N",0.002,"N",TRUE
2292,"N",0.002,"N",TRUE
2291,"Y",0.876,"Y",TRUE
2290,"N",0.002,"N",TRUE
2289,"N",0,"N",TRUE
2288,"N",0.06,"N",TRUE
2286,"N",0.054,"N",TRUE
2284,"N",0.238,"N",TRUE
2279,"N",0.034,"N",TRUE
2277,"Y",0.182,"N",FALSE
2272,"N",0.002,"N",TRUE
2264,"N",0.08,"N",TRUE
2260,"N",0.028,"N",TRUE
2255,"N",0.276,"N",TRUE
2252,"N",0.018,"N",TRUE
2250,"N",0.318,"N",TRUE
2248,"N",0.354,"N",TRUE
2247,"Y",1,"Y",TRUE
2246,"N",0.074,"N",TRUE
2245,"N",0.03,"N",TRUE
2444,"N",0.184,"N",TRUE
2442,"N",0,"N",TRUE
2439,"N",0.008,"N",TRUE
2437,"N",0.004,"N",TRUE
2434,"Y",0.096,"N",FALSE
2432,"N",0.142,"N",TRUE
2429,"N",0.048,"N",TRUE
2428,"N",0,"N",TRUE
2427,"N",0,"N",TRUE
2421,"N",0.02,"N",TRUE
2417,"N",0,"N",TRUE
2416,"N",0.012,"N",TRUE
2414,"Y",0.45,"Y",TRUE
2412,"N",0.038,"N",TRUE
2405,"N",0.02,"N",TRUE
2403,"N",0.11,"N",TRUE
2399,"N",0.002,"N",TRUE
2397,"N",0.058,"N",TRUE
2389,"N",0.014,"N",TRUE
2387,"N",0.068,"N",TRUE
2386,"N",0.09,"N",TRUE
2382,"N",0.652,"Y",FALSE
2381,"N",0.052,"N",TRUE
2379,"N",0.016,"N",TRUE
2378,"N",0.088,"N",TRUE
2377,"Y",0.564,"Y",TRUE
2374,"N",0.012,"N",TRUE
2371,"N",0.548,"Y",FALSE
2364,"Y",0.892,"Y",TRUE
2360,"N",0.01,"N",TRUE
2357,"Y",0.146,"N",FALSE
2352,"N",0.012,"N",TRUE
2348,"Y",0.132,"N",FALSE
2347,"N",0.51,"Y",FALSE
2345,"N",0.034,"N",TRUE
2546,"N",0.106,"N",TRUE
2543,"N",0.002,"N",TRUE
