"UniqueID","Popular.fctr","Popular.fctr.predict.Conditional.X.glm.prob","Popular.fctr.predict.Conditional.X.glm","Popular.fctr.predict.Conditional.X.glm.accurate"
228,"N",2.22044604925031e-16,"N",TRUE
230,"N",2.22044604925031e-16,"N",TRUE
238,"Y",1,"Y",TRUE
239,"N",2.22044604925031e-16,"N",TRUE
242,"N",2.22044604925031e-16,"N",TRUE
246,"N",2.22044604925031e-16,"N",TRUE
250,"N",2.22044604925031e-16,"N",TRUE
252,"Y",1,"Y",TRUE
255,"N",2.22044604925031e-16,"N",TRUE
258,"N",2.22044604925031e-16,"N",TRUE
259,"N",2.22044604925031e-16,"N",TRUE
260,"N",2.22044604925031e-16,"N",TRUE
265,"N",2.22044604925031e-16,"N",TRUE
266,"N",2.22044604925031e-16,"N",TRUE
270,"N",2.22044604925031e-16,"N",TRUE
274,"N",2.22044604925031e-16,"N",TRUE
278,"N",2.22044604925031e-16,"N",TRUE
280,"N",2.22044604925031e-16,"N",TRUE
284,"N",2.22044604925031e-16,"N",TRUE
286,"N",2.22044604925031e-16,"N",TRUE
288,"N",2.22044604925031e-16,"N",TRUE
300,"Y",1,"Y",TRUE
302,"N",2.22044604925031e-16,"N",TRUE
303,"N",2.22044604925031e-16,"N",TRUE
304,"Y",1,"Y",TRUE
305,"N",1,"Y",FALSE
312,"N",2.22044604925031e-16,"N",TRUE
328,"N",2.22044604925031e-16,"N",TRUE
334,"N",2.22044604925031e-16,"N",TRUE
335,"Y",1,"Y",TRUE
338,"Y",1,"Y",TRUE
340,"Y",1,"Y",TRUE
345,"Y",1,"Y",TRUE
351,"N",2.22044604925031e-16,"N",TRUE
352,"N",2.22044604925031e-16,"N",TRUE
354,"N",2.22044604925031e-16,"N",TRUE
359,"N",2.22044604925031e-16,"N",TRUE
361,"Y",1,"Y",TRUE
363,"N",2.22044604925031e-16,"N",TRUE
367,"N",2.22044604925031e-16,"N",TRUE
368,"Y",1,"Y",TRUE
373,"N",2.22044604925031e-16,"N",TRUE
378,"N",2.22044604925031e-16,"N",TRUE
388,"N",2.22044604925031e-16,"N",TRUE
390,"N",2.22044604925031e-16,"N",TRUE
394,"N",2.22044604925031e-16,"N",TRUE
395,"N",2.22044604925031e-16,"N",TRUE
396,"N",2.22044604925031e-16,"N",TRUE
400,"N",2.22044604925031e-16,"N",TRUE
405,"N",2.22044604925031e-16,"N",TRUE
407,"N",2.22044604925031e-16,"N",TRUE
411,"N",2.22044604925031e-16,"N",TRUE
415,"N",2.22044604925031e-16,"N",TRUE
416,"N",2.22044604925031e-16,"N",TRUE
419,"N",2.22044604925031e-16,"N",TRUE
422,"N",2.22044604925031e-16,"N",TRUE
423,"N",2.22044604925031e-16,"N",TRUE
427,"Y",1,"Y",TRUE
429,"N",2.22044604925031e-16,"N",TRUE
437,"N",2.22044604925031e-16,"N",TRUE
439,"N",2.22044604925031e-16,"N",TRUE
444,"Y",1,"Y",TRUE
446,"Y",2.22044604925031e-16,"N",FALSE
447,"N",2.22044604925031e-16,"N",TRUE
448,"N",2.22044604925031e-16,"N",TRUE
450,"Y",2.22044604925031e-16,"N",FALSE
454,"N",2.22044604925031e-16,"N",TRUE
456,"N",2.22044604925031e-16,"N",TRUE
457,"N",2.22044604925031e-16,"N",TRUE
459,"N",2.22044604925031e-16,"N",TRUE
460,"N",2.22044604925031e-16,"N",TRUE
461,"N",2.22044604925031e-16,"N",TRUE
466,"N",2.22044604925031e-16,"N",TRUE
467,"N",2.22044604925031e-16,"N",TRUE
471,"N",2.22044604925031e-16,"N",TRUE
474,"N",2.22044604925031e-16,"N",TRUE
477,"N",2.22044604925031e-16,"N",TRUE
479,"N",2.22044604925031e-16,"N",TRUE
480,"N",2.22044604925031e-16,"N",TRUE
481,"N",2.22044604925031e-16,"N",TRUE
482,"N",2.22044604925031e-16,"N",TRUE
484,"N",1,"Y",FALSE
485,"N",2.22044604925031e-16,"N",TRUE
486,"N",2.22044604925031e-16,"N",TRUE
488,"N",2.22044604925031e-16,"N",TRUE
493,"Y",2.22044604925031e-16,"N",FALSE
494,"N",2.22044604925031e-16,"N",TRUE
497,"N",2.22044604925031e-16,"N",TRUE
498,"N",2.22044604925031e-16,"N",TRUE
501,"N",2.22044604925031e-16,"N",TRUE
502,"N",2.22044604925031e-16,"N",TRUE
507,"N",2.22044604925031e-16,"N",TRUE
508,"N",2.22044604925031e-16,"N",TRUE
513,"N",2.22044604925031e-16,"N",TRUE
522,"Y",1,"Y",TRUE
523,"N",2.22044604925031e-16,"N",TRUE
524,"N",2.22044604925031e-16,"N",TRUE
533,"N",2.22044604925031e-16,"N",TRUE
535,"N",2.22044604925031e-16,"N",TRUE
537,"N",2.22044604925031e-16,"N",TRUE
543,"N",2.22044604925031e-16,"N",TRUE
544,"N",2.22044604925031e-16,"N",TRUE
545,"N",2.22044604925031e-16,"N",TRUE
551,"N",2.22044604925031e-16,"N",TRUE
554,"Y",1,"Y",TRUE
555,"N",2.22044604925031e-16,"N",TRUE
559,"Y",1,"Y",TRUE
566,"N",2.22044604925031e-16,"N",TRUE
567,"N",2.22044604925031e-16,"N",TRUE
573,"N",2.22044604925031e-16,"N",TRUE
576,"N",1,"Y",FALSE
577,"N",2.22044604925031e-16,"N",TRUE
580,"N",2.22044604925031e-16,"N",TRUE
582,"Y",1,"Y",TRUE
586,"N",2.22044604925031e-16,"N",TRUE
588,"N",2.22044604925031e-16,"N",TRUE
592,"N",2.22044604925031e-16,"N",TRUE
595,"N",2.22044604925031e-16,"N",TRUE
601,"Y",2.22044604925031e-16,"N",FALSE
606,"N",2.22044604925031e-16,"N",TRUE
612,"Y",1,"Y",TRUE
613,"N",2.22044604925031e-16,"N",TRUE
615,"N",2.22044604925031e-16,"N",TRUE
622,"Y",1,"Y",TRUE
624,"N",2.22044604925031e-16,"N",TRUE
631,"N",2.22044604925031e-16,"N",TRUE
632,"N",2.22044604925031e-16,"N",TRUE
634,"N",2.22044604925031e-16,"N",TRUE
639,"N",2.22044604925031e-16,"N",TRUE
642,"N",2.22044604925031e-16,"N",TRUE
643,"N",2.22044604925031e-16,"N",TRUE
653,"N",2.22044604925031e-16,"N",TRUE
657,"N",2.22044604925031e-16,"N",TRUE
661,"N",2.22044604925031e-16,"N",TRUE
662,"N",2.22044604925031e-16,"N",TRUE
666,"N",2.22044604925031e-16,"N",TRUE
667,"N",2.22044604925031e-16,"N",TRUE
671,"N",2.22044604925031e-16,"N",TRUE
673,"N",2.22044604925031e-16,"N",TRUE
674,"N",2.22044604925031e-16,"N",TRUE
675,"N",2.22044604925031e-16,"N",TRUE
677,"N",2.22044604925031e-16,"N",TRUE
678,"N",2.22044604925031e-16,"N",TRUE
679,"N",1,"Y",FALSE
683,"N",2.22044604925031e-16,"N",TRUE
690,"N",2.22044604925031e-16,"N",TRUE
692,"N",2.22044604925031e-16,"N",TRUE
693,"Y",2.22044604925031e-16,"N",FALSE
694,"N",2.22044604925031e-16,"N",TRUE
698,"N",2.22044604925031e-16,"N",TRUE
700,"N",2.22044604925031e-16,"N",TRUE
708,"N",2.22044604925031e-16,"N",TRUE
714,"Y",1,"Y",TRUE
718,"Y",1,"Y",TRUE
722,"N",2.22044604925031e-16,"N",TRUE
729,"N",2.22044604925031e-16,"N",TRUE
730,"N",2.22044604925031e-16,"N",TRUE
734,"N",2.22044604925031e-16,"N",TRUE
735,"N",2.22044604925031e-16,"N",TRUE
736,"N",2.22044604925031e-16,"N",TRUE
737,"N",2.22044604925031e-16,"N",TRUE
741,"N",2.22044604925031e-16,"N",TRUE
742,"Y",1,"Y",TRUE
745,"N",2.22044604925031e-16,"N",TRUE
746,"N",2.22044604925031e-16,"N",TRUE
747,"N",2.22044604925031e-16,"N",TRUE
750,"N",2.22044604925031e-16,"N",TRUE
756,"Y",2.22044604925031e-16,"N",FALSE
758,"Y",2.22044604925031e-16,"N",FALSE
759,"N",2.22044604925031e-16,"N",TRUE
761,"N",2.22044604925031e-16,"N",TRUE
763,"Y",1,"Y",TRUE
765,"N",2.22044604925031e-16,"N",TRUE
767,"N",2.22044604925031e-16,"N",TRUE
773,"N",2.22044604925031e-16,"N",TRUE
780,"N",2.22044604925031e-16,"N",TRUE
783,"N",2.22044604925031e-16,"N",TRUE
784,"N",2.22044604925031e-16,"N",TRUE
788,"N",2.22044604925031e-16,"N",TRUE
789,"N",2.22044604925031e-16,"N",TRUE
790,"N",2.22044604925031e-16,"N",TRUE
793,"N",2.22044604925031e-16,"N",TRUE
798,"N",2.22044604925031e-16,"N",TRUE
799,"N",2.22044604925031e-16,"N",TRUE
800,"N",2.22044604925031e-16,"N",TRUE
802,"Y",1,"Y",TRUE
804,"N",2.22044604925031e-16,"N",TRUE
805,"N",2.22044604925031e-16,"N",TRUE
806,"N",2.22044604925031e-16,"N",TRUE
808,"N",2.22044604925031e-16,"N",TRUE
811,"N",1,"Y",FALSE
816,"N",2.22044604925031e-16,"N",TRUE
817,"N",2.22044604925031e-16,"N",TRUE
822,"N",2.22044604925031e-16,"N",TRUE
823,"N",2.22044604925031e-16,"N",TRUE
825,"Y",2.22044604925031e-16,"N",FALSE
826,"N",2.22044604925031e-16,"N",TRUE
827,"N",2.22044604925031e-16,"N",TRUE
828,"Y",2.22044604925031e-16,"N",FALSE
842,"N",2.22044604925031e-16,"N",TRUE
847,"N",2.22044604925031e-16,"N",TRUE
850,"N",2.22044604925031e-16,"N",TRUE
854,"N",2.22044604925031e-16,"N",TRUE
859,"N",2.22044604925031e-16,"N",TRUE
864,"N",2.22044604925031e-16,"N",TRUE
870,"N",2.22044604925031e-16,"N",TRUE
872,"N",2.22044604925031e-16,"N",TRUE
876,"N",2.22044604925031e-16,"N",TRUE
879,"N",2.22044604925031e-16,"N",TRUE
891,"N",2.22044604925031e-16,"N",TRUE
895,"N",2.22044604925031e-16,"N",TRUE
897,"N",2.22044604925031e-16,"N",TRUE
899,"N",2.22044604925031e-16,"N",TRUE
900,"N",2.22044604925031e-16,"N",TRUE
901,"N",2.22044604925031e-16,"N",TRUE
902,"N",2.22044604925031e-16,"N",TRUE
904,"N",2.22044604925031e-16,"N",TRUE
910,"N",2.22044604925031e-16,"N",TRUE
911,"N",2.22044604925031e-16,"N",TRUE
915,"N",2.22044604925031e-16,"N",TRUE
920,"N",2.22044604925031e-16,"N",TRUE
922,"N",2.22044604925031e-16,"N",TRUE
923,"N",2.22044604925031e-16,"N",TRUE
930,"Y",1,"Y",TRUE
931,"N",2.22044604925031e-16,"N",TRUE
934,"N",2.22044604925031e-16,"N",TRUE
936,"N",2.22044604925031e-16,"N",TRUE
938,"N",2.22044604925031e-16,"N",TRUE
943,"N",2.22044604925031e-16,"N",TRUE
948,"N",2.22044604925031e-16,"N",TRUE
953,"N",2.22044604925031e-16,"N",TRUE
956,"N",2.22044604925031e-16,"N",TRUE
958,"N",2.22044604925031e-16,"N",TRUE
965,"N",2.22044604925031e-16,"N",TRUE
966,"Y",1,"Y",TRUE
969,"Y",2.22044604925031e-16,"N",FALSE
974,"N",2.22044604925031e-16,"N",TRUE
976,"N",2.22044604925031e-16,"N",TRUE
978,"N",2.22044604925031e-16,"N",TRUE
982,"N",2.22044604925031e-16,"N",TRUE
986,"Y",1,"Y",TRUE
991,"N",2.22044604925031e-16,"N",TRUE
995,"N",2.22044604925031e-16,"N",TRUE
1005,"N",2.22044604925031e-16,"N",TRUE
1006,"Y",1,"Y",TRUE
1007,"N",2.22044604925031e-16,"N",TRUE
1009,"N",1,"Y",FALSE
1011,"N",2.22044604925031e-16,"N",TRUE
1019,"Y",1,"Y",TRUE
1020,"N",1,"Y",FALSE
1032,"N",2.22044604925031e-16,"N",TRUE
1034,"N",2.22044604925031e-16,"N",TRUE
1041,"N",2.22044604925031e-16,"N",TRUE
1044,"N",2.22044604925031e-16,"N",TRUE
1047,"N",2.22044604925031e-16,"N",TRUE
1053,"Y",1,"Y",TRUE
1054,"N",2.22044604925031e-16,"N",TRUE
1057,"N",2.22044604925031e-16,"N",TRUE
1065,"N",2.22044604925031e-16,"N",TRUE
1067,"Y",1,"Y",TRUE
1070,"N",2.22044604925031e-16,"N",TRUE
1073,"N",1,"Y",FALSE
1077,"N",2.22044604925031e-16,"N",TRUE
1079,"N",2.22044604925031e-16,"N",TRUE
1092,"Y",2.22044604925031e-16,"N",FALSE
1093,"N",2.22044604925031e-16,"N",TRUE
1096,"Y",2.22044604925031e-16,"N",FALSE
1098,"N",2.22044604925031e-16,"N",TRUE
1100,"N",2.22044604925031e-16,"N",TRUE
1114,"N",2.22044604925031e-16,"N",TRUE
1119,"N",2.22044604925031e-16,"N",TRUE
1121,"N",1,"Y",FALSE
1125,"N",2.22044604925031e-16,"N",TRUE
1127,"N",2.22044604925031e-16,"N",TRUE
1135,"N",2.22044604925031e-16,"N",TRUE
1141,"N",2.22044604925031e-16,"N",TRUE
1143,"N",2.22044604925031e-16,"N",TRUE
1144,"N",2.22044604925031e-16,"N",TRUE
1145,"N",2.22044604925031e-16,"N",TRUE
1151,"N",1,"Y",FALSE
1152,"N",2.22044604925031e-16,"N",TRUE
1153,"N",2.22044604925031e-16,"N",TRUE
1154,"N",2.22044604925031e-16,"N",TRUE
1156,"Y",2.22044604925031e-16,"N",FALSE
1163,"N",2.22044604925031e-16,"N",TRUE
1165,"N",2.22044604925031e-16,"N",TRUE
1169,"N",2.22044604925031e-16,"N",TRUE
1170,"N",2.22044604925031e-16,"N",TRUE
1174,"N",2.22044604925031e-16,"N",TRUE
1176,"N",2.22044604925031e-16,"N",TRUE
1181,"N",2.22044604925031e-16,"N",TRUE
1182,"N",2.22044604925031e-16,"N",TRUE
1184,"N",2.22044604925031e-16,"N",TRUE
1187,"Y",1,"Y",TRUE
1189,"N",2.22044604925031e-16,"N",TRUE
1192,"N",2.22044604925031e-16,"N",TRUE
1197,"N",2.22044604925031e-16,"N",TRUE
1198,"N",2.22044604925031e-16,"N",TRUE
1205,"N",2.22044604925031e-16,"N",TRUE
1213,"N",2.22044604925031e-16,"N",TRUE
1214,"N",2.22044604925031e-16,"N",TRUE
1221,"N",2.22044604925031e-16,"N",TRUE
1223,"N",2.22044604925031e-16,"N",TRUE
1226,"N",2.22044604925031e-16,"N",TRUE
1227,"N",2.22044604925031e-16,"N",TRUE
1228,"N",2.22044604925031e-16,"N",TRUE
1237,"N",2.22044604925031e-16,"N",TRUE
1238,"Y",1,"Y",TRUE
1241,"N",1,"Y",FALSE
1242,"N",2.22044604925031e-16,"N",TRUE
1243,"N",2.22044604925031e-16,"N",TRUE
1246,"Y",2.22044604925031e-16,"N",FALSE
1248,"N",2.22044604925031e-16,"N",TRUE
1250,"N",2.22044604925031e-16,"N",TRUE
1253,"N",2.22044604925031e-16,"N",TRUE
1262,"N",2.22044604925031e-16,"N",TRUE
1264,"N",2.22044604925031e-16,"N",TRUE
1266,"N",2.22044604925031e-16,"N",TRUE
1269,"Y",2.22044604925031e-16,"N",FALSE
1270,"Y",1,"Y",TRUE
1278,"N",2.22044604925031e-16,"N",TRUE
1280,"N",2.22044604925031e-16,"N",TRUE
1281,"N",2.22044604925031e-16,"N",TRUE
1286,"Y",1,"Y",TRUE
1287,"Y",1,"Y",TRUE
1288,"N",2.22044604925031e-16,"N",TRUE
1291,"N",2.22044604925031e-16,"N",TRUE
1294,"N",2.22044604925031e-16,"N",TRUE
1296,"N",2.22044604925031e-16,"N",TRUE
1298,"Y",1,"Y",TRUE
1300,"N",2.22044604925031e-16,"N",TRUE
1301,"N",2.22044604925031e-16,"N",TRUE
1308,"N",2.22044604925031e-16,"N",TRUE
1311,"N",2.22044604925031e-16,"N",TRUE
1314,"N",2.22044604925031e-16,"N",TRUE
1316,"N",2.22044604925031e-16,"N",TRUE
1320,"N",2.22044604925031e-16,"N",TRUE
1322,"N",2.22044604925031e-16,"N",TRUE
1323,"N",2.22044604925031e-16,"N",TRUE
1325,"N",1,"Y",FALSE
1328,"Y",1,"Y",TRUE
1330,"N",2.22044604925031e-16,"N",TRUE
1331,"N",1,"Y",FALSE
1332,"N",2.22044604925031e-16,"N",TRUE
1333,"N",2.22044604925031e-16,"N",TRUE
1337,"N",2.22044604925031e-16,"N",TRUE
1338,"N",2.22044604925031e-16,"N",TRUE
1339,"N",2.22044604925031e-16,"N",TRUE
1344,"N",2.22044604925031e-16,"N",TRUE
1347,"Y",1,"Y",TRUE
1362,"N",2.22044604925031e-16,"N",TRUE
1365,"N",2.22044604925031e-16,"N",TRUE
1369,"N",1,"Y",FALSE
1372,"N",2.22044604925031e-16,"N",TRUE
1373,"N",1,"Y",FALSE
1378,"N",2.22044604925031e-16,"N",TRUE
1381,"N",2.22044604925031e-16,"N",TRUE
1385,"N",2.22044604925031e-16,"N",TRUE
1386,"N",2.22044604925031e-16,"N",TRUE
1387,"N",2.22044604925031e-16,"N",TRUE
1389,"N",2.22044604925031e-16,"N",TRUE
1393,"N",2.22044604925031e-16,"N",TRUE
1394,"N",2.22044604925031e-16,"N",TRUE
1396,"N",2.22044604925031e-16,"N",TRUE
1402,"N",2.22044604925031e-16,"N",TRUE
1405,"N",2.22044604925031e-16,"N",TRUE
1406,"N",2.22044604925031e-16,"N",TRUE
1412,"N",2.22044604925031e-16,"N",TRUE
1416,"Y",1,"Y",TRUE
1419,"Y",2.22044604925031e-16,"N",FALSE
1423,"N",2.22044604925031e-16,"N",TRUE
1424,"N",2.22044604925031e-16,"N",TRUE
1425,"N",2.22044604925031e-16,"N",TRUE
1430,"N",2.22044604925031e-16,"N",TRUE
1443,"N",2.22044604925031e-16,"N",TRUE
1446,"N",2.22044604925031e-16,"N",TRUE
1450,"Y",1,"Y",TRUE
1451,"N",2.22044604925031e-16,"N",TRUE
1454,"N",2.22044604925031e-16,"N",TRUE
1456,"N",2.22044604925031e-16,"N",TRUE
1459,"N",2.22044604925031e-16,"N",TRUE
1463,"N",2.22044604925031e-16,"N",TRUE
1470,"N",2.22044604925031e-16,"N",TRUE
1475,"Y",1,"Y",TRUE
1476,"N",2.22044604925031e-16,"N",TRUE
1479,"N",2.22044604925031e-16,"N",TRUE
1482,"Y",2.22044604925031e-16,"N",FALSE
1483,"Y",1,"Y",TRUE
1494,"N",2.22044604925031e-16,"N",TRUE
1495,"N",2.22044604925031e-16,"N",TRUE
1498,"N",2.22044604925031e-16,"N",TRUE
1499,"N",2.22044604925031e-16,"N",TRUE
1500,"N",2.22044604925031e-16,"N",TRUE
1503,"N",2.22044604925031e-16,"N",TRUE
1504,"N",2.22044604925031e-16,"N",TRUE
1511,"N",2.22044604925031e-16,"N",TRUE
1512,"N",2.22044604925031e-16,"N",TRUE
1514,"N",2.22044604925031e-16,"N",TRUE
1522,"N",2.22044604925031e-16,"N",TRUE
1524,"N",2.22044604925031e-16,"N",TRUE
1531,"N",2.22044604925031e-16,"N",TRUE
1533,"N",2.22044604925031e-16,"N",TRUE
1536,"Y",1,"Y",TRUE
1540,"N",2.22044604925031e-16,"N",TRUE
1544,"N",2.22044604925031e-16,"N",TRUE
1547,"N",2.22044604925031e-16,"N",TRUE
1549,"N",2.22044604925031e-16,"N",TRUE
1553,"N",2.22044604925031e-16,"N",TRUE
1555,"N",2.22044604925031e-16,"N",TRUE
1560,"Y",2.22044604925031e-16,"N",FALSE
1562,"N",2.22044604925031e-16,"N",TRUE
1563,"N",2.22044604925031e-16,"N",TRUE
1564,"Y",1,"Y",TRUE
1568,"N",2.22044604925031e-16,"N",TRUE
1569,"N",2.22044604925031e-16,"N",TRUE
1572,"Y",1,"Y",TRUE
1574,"N",2.22044604925031e-16,"N",TRUE
1575,"N",2.22044604925031e-16,"N",TRUE
1577,"Y",1,"Y",TRUE
1580,"N",2.22044604925031e-16,"N",TRUE
1582,"N",2.22044604925031e-16,"N",TRUE
1586,"N",2.22044604925031e-16,"N",TRUE
1594,"N",2.22044604925031e-16,"N",TRUE
1601,"N",2.22044604925031e-16,"N",TRUE
1603,"N",2.22044604925031e-16,"N",TRUE
1604,"N",2.22044604925031e-16,"N",TRUE
1607,"N",1,"Y",FALSE
1617,"N",2.22044604925031e-16,"N",TRUE
1623,"N",2.22044604925031e-16,"N",TRUE
1628,"N",2.22044604925031e-16,"N",TRUE
1631,"N",2.22044604925031e-16,"N",TRUE
1632,"N",2.22044604925031e-16,"N",TRUE
1633,"N",2.22044604925031e-16,"N",TRUE
1640,"N",2.22044604925031e-16,"N",TRUE
1654,"N",2.22044604925031e-16,"N",TRUE
1655,"Y",1,"Y",TRUE
1657,"N",2.22044604925031e-16,"N",TRUE
1661,"N",2.22044604925031e-16,"N",TRUE
1663,"N",2.22044604925031e-16,"N",TRUE
1668,"N",2.22044604925031e-16,"N",TRUE
1669,"N",2.22044604925031e-16,"N",TRUE
1673,"N",2.22044604925031e-16,"N",TRUE
1674,"N",2.22044604925031e-16,"N",TRUE
1675,"N",2.22044604925031e-16,"N",TRUE
1676,"N",2.22044604925031e-16,"N",TRUE
1680,"N",2.22044604925031e-16,"N",TRUE
1682,"N",2.22044604925031e-16,"N",TRUE
1687,"N",2.22044604925031e-16,"N",TRUE
1688,"N",2.22044604925031e-16,"N",TRUE
1694,"N",2.22044604925031e-16,"N",TRUE
1701,"N",2.22044604925031e-16,"N",TRUE
1704,"N",2.22044604925031e-16,"N",TRUE
1706,"Y",1,"Y",TRUE
1708,"N",2.22044604925031e-16,"N",TRUE
1712,"N",2.22044604925031e-16,"N",TRUE
1713,"N",2.22044604925031e-16,"N",TRUE
1717,"N",2.22044604925031e-16,"N",TRUE
1720,"N",2.22044604925031e-16,"N",TRUE
1721,"N",2.22044604925031e-16,"N",TRUE
1722,"N",2.22044604925031e-16,"N",TRUE
1723,"N",2.22044604925031e-16,"N",TRUE
1725,"N",2.22044604925031e-16,"N",TRUE
1726,"N",2.22044604925031e-16,"N",TRUE
1728,"N",2.22044604925031e-16,"N",TRUE
1730,"N",2.22044604925031e-16,"N",TRUE
1731,"Y",1,"Y",TRUE
1733,"Y",2.22044604925031e-16,"N",FALSE
1739,"N",2.22044604925031e-16,"N",TRUE
1746,"N",2.22044604925031e-16,"N",TRUE
1750,"N",2.22044604925031e-16,"N",TRUE
1754,"N",2.22044604925031e-16,"N",TRUE
1765,"N",2.22044604925031e-16,"N",TRUE
1766,"N",2.22044604925031e-16,"N",TRUE
1769,"N",2.22044604925031e-16,"N",TRUE
1773,"N",2.22044604925031e-16,"N",TRUE
1774,"N",2.22044604925031e-16,"N",TRUE
1778,"Y",1,"Y",TRUE
1780,"N",2.22044604925031e-16,"N",TRUE
1786,"N",2.22044604925031e-16,"N",TRUE
1788,"N",2.22044604925031e-16,"N",TRUE
1789,"N",2.22044604925031e-16,"N",TRUE
1794,"N",2.22044604925031e-16,"N",TRUE
1801,"N",2.22044604925031e-16,"N",TRUE
1806,"N",2.22044604925031e-16,"N",TRUE
1811,"N",2.22044604925031e-16,"N",TRUE
1812,"N",2.22044604925031e-16,"N",TRUE
1818,"N",2.22044604925031e-16,"N",TRUE
1819,"N",2.22044604925031e-16,"N",TRUE
1826,"N",2.22044604925031e-16,"N",TRUE
1833,"N",2.22044604925031e-16,"N",TRUE
1838,"N",2.22044604925031e-16,"N",TRUE
1841,"N",2.22044604925031e-16,"N",TRUE
1842,"N",2.22044604925031e-16,"N",TRUE
1844,"N",2.22044604925031e-16,"N",TRUE
1848,"N",2.22044604925031e-16,"N",TRUE
1849,"N",2.22044604925031e-16,"N",TRUE
1850,"N",2.22044604925031e-16,"N",TRUE
1858,"N",2.22044604925031e-16,"N",TRUE
1859,"Y",1,"Y",TRUE
1860,"Y",1,"Y",TRUE
1864,"Y",1,"Y",TRUE
1866,"N",2.22044604925031e-16,"N",TRUE
1869,"N",2.22044604925031e-16,"N",TRUE
1871,"Y",2.22044604925031e-16,"N",FALSE
1877,"N",2.22044604925031e-16,"N",TRUE
1883,"N",2.22044604925031e-16,"N",TRUE
1887,"Y",1,"Y",TRUE
1890,"Y",1,"Y",TRUE
1892,"N",2.22044604925031e-16,"N",TRUE
1893,"N",2.22044604925031e-16,"N",TRUE
1895,"Y",1,"Y",TRUE
1896,"N",2.22044604925031e-16,"N",TRUE
1898,"N",2.22044604925031e-16,"N",TRUE
1900,"N",2.22044604925031e-16,"N",TRUE
1903,"Y",1,"Y",TRUE
1907,"N",2.22044604925031e-16,"N",TRUE
1909,"N",2.22044604925031e-16,"N",TRUE
1911,"N",2.22044604925031e-16,"N",TRUE
