"NewsDesk.nb" "NewsDesk" "SectionName.nb" "SectionName" "SubsectionName.nb" "SubsectionName" "Headline.pfx" "Popular.fctr" ".n"
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" "N" 13
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" "Y" 5
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" NA 3
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "Readers Respond::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myEducation::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myEducation::" NA 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myFood::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "N" 73
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "Y" 5
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" NA 22
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myTech::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myTech::" NA 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "Today in Small Business::" "N" 58
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "Today in Small Business::" NA 13
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myEducation::" "N" 1
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myEducation::" "Y" 2
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myFood::" "Y" 1
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "N" 18
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "Y" 99
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" NA 38
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myTech::" "Y" 1
"Business" "Business" "Technology" "" "Business::Technology" "" "myTech::" "N" 4
"Business" "Business" "Technology" "" "Business::Technology" "" "myTech::" "Y" 1
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "Daily Report::" "N" 60
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "Daily Report::" NA 18
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myEducation::" "N" 2
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myEducation::" NA 1
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myFood::" "N" 3
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myFood::" "Y" 1
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" "N" 149
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" "Y" 32
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" NA 74
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMultimedia::" "N" 3
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myPolitics::" "N" 1
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myTech::" "N" 62
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myTech::" "Y" 17
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myTech::" NA 18
"Culture" "" "Arts" "Arts" "Culture::Arts" "" "myMisc::" NA 10
"Culture" "" "Arts" "Arts" "Culture::Arts" "" "myMultimedia::" NA 1
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myEducation::" "N" 6
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myEducation::" NA 4
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myFood::" "N" 1
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" "N" 598
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" "Y" 50
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" NA 152
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMultimedia::" "N" 12
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMultimedia::" NA 3
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myPolitics::" "N" 6
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myPolitics::" NA 1
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myTech::" "N" 2
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myTech::" NA 2
"Culture" "Culture" "Culture" "" "Culture::Culture" "" "myMisc::" "N" 1
"Culture" "Culture" "Culture" "" "Culture::Culture" "" "myMisc::" NA 69
"Culture" "Culture" "Culture" "" "Culture::Culture" "" "myMultimedia::" NA 1
"Daily Clip Report::" "" "Daily Clip Report::" "" "Daily Clip Report::Daily Clip Report::" "" "Daily Clip Report::" "N" 62
"Daily Clip Report::" "" "Daily Clip Report::" "" "Daily Clip Report::Daily Clip Report::" "" "Daily Clip Report::" NA 22
"First Draft::" "" "First Draft::" "" "First Draft::First Draft::" "" "First Draft::" "N" 58
"First Draft::" "" "First Draft::" "" "First Draft::First Draft::" "" "First Draft::" NA 14
"Foreign" "" "World" "" "Foreign::World" "" "19[0-9][0-9]::" "N" 9
"Foreign" "" "World" "" "Foreign::World" "" "19[0-9][0-9]::" NA 4
"Foreign" "" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" NA 1
"Foreign" "Foreign" "World" "" "Foreign::World" "" "19[0-9][0-9]::" "N" 141
"Foreign" "Foreign" "World" "" "Foreign::World" "" "19[0-9][0-9]::" NA 39
"Foreign" "Foreign" "World" "" "Foreign::World" "" "myMisc::" "N" 22
"Foreign" "Foreign" "World" "" "Foreign::World" "" "myMisc::" NA 7
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myEducation::" "N" 5
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myFood::" "N" 2
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" "N" 188
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" "Y" 2
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" NA 54
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMultimedia::" "N" 4
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myPolitics::" "N" 1
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myPolitics::" "Y" 1
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myPolitics::" NA 1
"Foreign" "Foreign" "World" "World" "Foreign::World" "" "myMisc::" "N" 9
"Foreign" "Foreign" "World" "World" "Foreign::World" "" "myMisc::" NA 1
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "myFood::" "N" 2
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "myMisc::" "N" 28
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "myMisc::" NA 3
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "Readers Respond::" "N" 1
"Metro" "" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" NA 2
"Metro" "" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" NA 1
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myEducation::" "N" 1
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myFood::" "N" 4
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myFood::" "Y" 1
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" "N" 116
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" "Y" 11
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" NA 42
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMultimedia::" "Y" 1
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMultimedia::" NA 1
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" "N" 59
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" "Y" 3
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" NA 20
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "Readers Respond::" "Y" 1
"myEducation" "" "U.S." "" "Education" "" "On This Day::" "N" 15
"myEducation" "" "U.S." "" "Education" "" "On This Day::" NA 3
"myEducation" "" "U.S." "" "Education" "" "Quiz(.*)([?=|]|[?=:]::" "Y" 1
"myEducation" "" "U.S." "" "Education" "" "Quiz(.*)([?=|]|[?=:]::" NA 1
"myEducation" "" "U.S." "U.S." "Education" "Education" "6 Q's About the News::" "N" 61
"myEducation" "" "U.S." "U.S." "Education" "Education" "6 Q's About the News::" NA 15
"myEducation" "" "U.S." "U.S." "Education" "Education" "myEducation::" "N" 10
"myEducation" "" "U.S." "U.S." "Education" "Education" "myEducation::" NA 2
"myEducation" "" "U.S." "U.S." "Education" "Education" "myFood::" "N" 5
"myEducation" "" "U.S." "U.S." "Education" "Education" "myMisc::" "N" 108
"myEducation" "" "U.S." "U.S." "Education" "Education" "myMisc::" NA 33
"myEducation" "" "U.S." "U.S." "Education" "Education" "myMultimedia::" "N" 4
"myEducation" "" "U.S." "U.S." "Education" "Education" "myMultimedia::" NA 1
"myEducation" "" "U.S." "U.S." "Education" "Education" "myTech::" "N" 3
"myEducation" "" "U.S." "U.S." "Education" "Education" "myTech::" NA 1
"myEducation" "" "U.S." "U.S." "Education" "Education" "Quiz(.*)([?=|]|[?=:]::" "N" 12
"myEducation" "" "U.S." "U.S." "Education" "Education" "Quiz(.*)([?=|]|[?=:]::" NA 3
"myEducation" "" "U.S." "U.S." "Education" "Education" "Test Yourself::" "N" 61
"myEducation" "" "U.S." "U.S." "Education" "Education" "Test Yourself::" NA 17
"myEducation" "" "U.S." "U.S." "Education" "Education" "Word of the Day::" "N" 61
"myEducation" "" "U.S." "U.S." "Education" "Education" "Word of the Day::" NA 17
"myEducation::" "" "myEducation::" "" "myEducation::myEducation::" "" "myEducation::" "N" 2
"myEducation::" "" "myEducation::" "" "myEducation::myEducation::" "" "myEducation::" "Y" 4
"myEducation::" "" "myEducation::" "" "myEducation::myEducation::" "" "myEducation::" NA 1
"myEducation::" "" "Travel" "Travel" "myEducation::Travel" "" "myEducation::" NA 1
"myEducation::" "" "U.S." "U.S." "myEducation::U.S." "" "myEducation::" NA 1
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" "N" 794
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" "Y" 97
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" NA 195
"myMisc::" "" "Open" "Open" "myMisc::Open" "" "myMisc::" "N" 4
"myMisc::" "" "Open" "Open" "myMisc::Open" "" "myMisc::" NA 1
"myMisc::" "" "Travel" "Travel" "myMisc::Travel" "" "myMisc::" "N" 1
"myMisc::" "" "Travel" "Travel" "myMisc::Travel" "" "myMisc::" NA 3
"myMisc::" "" "U.S." "U.S." "myMisc::U.S." "" "myMisc::" "N" 1
"myMultimedia" "" "Multimedia" "Multimedia" "myMultimedia::Multimedia" "" "myMisc::" "N" 86
"myMultimedia" "" "Multimedia" "Multimedia" "myMultimedia::Multimedia" "" "myMisc::" "Y" 2
"myMultimedia" "" "Multimedia" "Multimedia" "myMultimedia::Multimedia" "" "myMisc::" NA 29
"myMultimedia" "" "Multimedia" "Multimedia" "myMultimedia::Multimedia" "" "myMultimedia::" NA 1
"myMultimedia" "" "Multimedia" "Multimedia" "myMultimedia::Multimedia" "" "Pictures of the (Day|Year|.)::" "N" 53
"myMultimedia" "" "Multimedia" "Multimedia" "myMultimedia::Multimedia" "" "Pictures of the (Day|Year|.)::" NA 22
"myMultimedia" "Metro" "N.Y. / Region" "N.Y. / Region" "myMultimedia::N.Y. / Region" "" "Pictures of the (Day|Year|.)::" NA 1
"myMultimedia::" "" "myMultimedia::" "" "myMultimedia::myMultimedia::" "" "myMultimedia::" "N" 4
"myMultimedia::" "" "myMultimedia::" "" "myMultimedia::myMultimedia::" "" "myMultimedia::" NA 3
"myPolitics::" "" "myPolitics::" "" "myPolitics::myPolitics::" "" "myPolitics::" "N" 85
"myPolitics::" "" "myPolitics::" "" "myPolitics::myPolitics::" "" "myPolitics::" "Y" 5
"myPolitics::" "" "myPolitics::" "" "myPolitics::myPolitics::" "" "myPolitics::" NA 41
"National" "National" "National" "" "National::National" "" "myMisc::" "N" 2
"National" "National" "U.S." "U.S." "Politics" "Politics" "myMisc::" "N" 2
"OpEd" "" "Opinion" "" "OpEd::Opinion" "" "What We're::" "N" 41
"OpEd" "" "Opinion" "" "OpEd::Opinion" "" "What We're::" NA 11
"OpEd" "" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "N" 2
"OpEd" "" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" NA 5
"OpEd" "" "Opinion" "Opinion" "OpEd::Opinion" "" "Readers Respond::" "N" 2
"OpEd" "" "Opinion" "Opinion" "OpEd::Opinion" "" "Readers Respond::" "Y" 1
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" "N" 57
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" "Y" 1
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" NA 20
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myPolitics::" "N" 2
"OpEd" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myTech::" "N" 2
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" "N" 4
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" "Y" 14
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" NA 10
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMultimedia::" "Y" 1
"OpEd" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myPolitics::" "Y" 1
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myEducation::" NA 1
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myMisc::" "Y" 1
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myMisc::" NA 16
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myTech::" NA 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myFood::" "N" 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myFood::" "Y" 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "N" 104
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "Y" 387
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" NA 138
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myPolitics::" "N" 3
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myPolitics::" "Y" 16
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myPolitics::" NA 2
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myTech::" "N" 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myTech::" "Y" 2
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "Readers Respond::" "Y" 1
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "What We're::" "N" 4
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "What We're::" NA 1
"Readers Respond::" "" "Readers Respond::" "" "Readers Respond::Readers Respond::" "" "Readers Respond::" "N" 6
"Readers Respond::" "" "Readers Respond::" "" "Readers Respond::Readers Respond::" "" "Readers Respond::" "Y" 6
"Readers Respond::" "" "Readers Respond::" "" "Readers Respond::Readers Respond::" "" "Readers Respond::" NA 4
"Reporter's Notebook::" "" "Reporter's Notebook::" "" "Reporter's Notebook::Reporter's Notebook::" "" "Reporter's Notebook::" "N" 6
"Reporter's Notebook::" "" "Reporter's Notebook::" "" "Reporter's Notebook::Reporter's Notebook::" "" "Reporter's Notebook::" "Y" 2
"Reporter's Notebook::" "" "Reporter's Notebook::" "" "Reporter's Notebook::Reporter's Notebook::" "" "Reporter's Notebook::" NA 7
"Science" "" "Health" "Health" "Science::Health" "" "myMisc::" "Y" 1
"Science" "Science" "Health" "" "Science::Health" "" "myMisc::" "Y" 2
"Science" "Science" "Health" "" "Science::Health" "" "myMisc::" NA 2
"Science" "Science" "Health" "Health" "Science::Health" "" "Ask Well::" "N" 6
"Science" "Science" "Health" "Health" "Science::Health" "" "Ask Well::" "Y" 9
"Science" "Science" "Health" "Health" "Science::Health" "" "Ask Well::" NA 3
"Science" "Science" "Health" "Health" "Science::Health" "" "myEducation::" "N" 1
"Science" "Science" "Health" "Health" "Science::Health" "" "myFood::" "N" 15
"Science" "Science" "Health" "Health" "Science::Health" "" "myFood::" "Y" 2
"Science" "Science" "Health" "Health" "Science::Health" "" "myFood::" NA 3
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" "N" 50
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" "Y" 108
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" NA 49
"Science" "Science" "Health" "Health" "Science::Health" "" "myTech::" "N" 1
"Science" "Styles" "Health" "Health" "Science::Health" "" "myMisc::" "N" 1
"Sports" "Sports" "Sports" "" "Sports::Sports" "" "myMisc::" "N" 1
"Sports" "Sports" "Sports" "Sports" "Sports::Sports" "" "myMisc::" "N" 1
"Styles" "" "Styles" "" "Fashion & Style" "" "myFood::" "N" 5
"Styles" "" "Styles" "" "Fashion & Style" "" "myFood::" NA 1
"Styles" "" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" NA 1
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myMisc::" "N" 66
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myMisc::" NA 11
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myPolitics::" "N" 2
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myPolitics::" "Y" 1
"Styles" "Styles" "Styles" "" "Fashion & Style" "" "myPolitics::" NA 2
"Styles" "Styles" "Styles" "Style" "Fashion & Style" "Fashion & Style" "myMisc::" "N" 2
"Styles" "Styles" "Technology" "" "Fashion & Style" "" "myTech::" "N" 2
"Styles" "Styles" "Technology" "" "Fashion & Style" "" "myTech::" NA 1
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myEducation::" "N" 3
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myEducation::" "Y" 9
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myEducation::" NA 3
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myFood::" "N" 5
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myFood::" "Y" 4
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMisc::" "N" 60
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMisc::" "Y" 81
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMisc::" NA 55
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMultimedia::" "Y" 2
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "myMultimedia::" NA 1
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" "N" 9
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" "Y" 4
"Styles" "Styles" "U.S." "U.S." "Fashion & Style" "" "Your Turn::" NA 2
"The Daily Gift::" "" "The Daily Gift::" "" "The Daily Gift::The Daily Gift::" "" "The Daily Gift::" "N" 1
"The Daily Gift::" "" "The Daily Gift::" "" "The Daily Gift::The Daily Gift::" "" "The Daily Gift::" NA 2
"Today in Politics::" "" "Today in Politics::" "" "Today in Politics::Today in Politics::" "" "Today in Politics::" "N" 44
"Today in Politics::" "" "Today in Politics::" "" "Today in Politics::Today in Politics::" "" "Today in Politics::" NA 21
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myFood::" "N" 9
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myFood::" NA 1
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" "N" 106
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" "Y" 1
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" NA 30
"TStyle" "" "TStyle" "" "TStyle::TStyle" "" ".*Fashion Week::" "N" 1
"TStyle" "Culture" "TStyle" "Arts" "TStyle::TStyle" "" ".*Fashion Week::" NA 1
"TStyle" "Metro" "TStyle" "N.Y. / Region" "TStyle::TStyle" "" ".*Fashion Week::" "N" 1
"TStyle" "Styles" "TStyle" "" "TStyle::TStyle" "" ".*Fashion Week::" "N" 46
"TStyle" "Styles" "TStyle" "" "TStyle::TStyle" "" ".*Fashion Week::" NA 1
"TStyle" "TStyle" "Technology" "" "TStyle::Technology" "" "myTech::" "Y" 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" ".*Fashion Week::" "N" 136
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myEducation::" "N" 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myEducation::" "Y" 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myFood::" "N" 13
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myFood::" NA 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" "N" 532
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" "Y" 7
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" NA 78
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMultimedia::" "N" 7
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMultimedia::" NA 4
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myPolitics::" "N" 1
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "The Daily Gift::" "N" 25
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "The Daily Gift::" NA 22
"Verbatim::" "" "Verbatim::" "" "Verbatim::Verbatim::" "" "Verbatim::" "N" 33
"Verbatim::" "" "Verbatim::" "" "Verbatim::Verbatim::" "" "Verbatim::" NA 12
